"","file","F_enrich","M_enrich"
"1","AD-Serpinb7-Glut",1,1
"2","ADP-MPO-Trp73-Glut",0,1
"3","AHN-Onecut3-Gaba",4,1
"4","AHN-PVHd-PVR-Mixed-Gaba",4,2
"5","ARC-Mixed-Glut",2,1
"6","AV-Col27a1-Glut",4,1
"7","Chat-GABA",2,1
"8","DMH-Gaba",4,2
"9","DMH-Hmx2-Vgll1-Glut",4,1
"10","GPe-SI-Sox6-Cyp26b1-Gaba",1,1
"11","GPi-Tbr1-Cngb3-Gaba-Glut",2,1
"12","Hist-Gaba",1,1
"13","HY-NSCs-1",0,1
"14","HY-NSCs-2",2,1
"15","LH-MH-Glut",1,1
"16","LHA-Pmch-Glut",0,1
"17","Lhx6-Gaba",1,1
"18","Lhx6-Lhx8-Gaba",4,1
"19","Mixed",4,3
"20","Mixed-Meis2-Gaba",4,1
"21","NDB-SI-MA-STRv-Lhx8-Gaba",4,2
"22","PF-Fzd5-Glut",4,1
"23","PH-LHA-MM-Foxb1-Glut",3,1
"24","PH-LHA-PVH-SO-PVa-Nxph4-Glut",4,1
"25","Pitx2-Glut",4,1
"26","PO-CEA-BST-Meis2-Gaba",4,3
"27","PO-COAa-PAA-MEA-Barhl2-Glut",3,1
"28","PO-MEA-BST-Mixed-Gaba",5,3
"29","PO-MEA-Glut",3,3
"30","PO-MEA-Slc17a7-Glut",2,1
"31","PV-PT-Ntrk1-Sp9-Glut",4,1
"32","PVH-SO-PVa-Agtr1a-Glut",1,1
"33","PVH-SO-PVa-Avp-Glut",4,1
"34","PVN-Mixed-Glut",0,1
"35","PVpo-VMPO-MPN-Hmx2-Gaba",4,1
"36","RE-Xi-Nox4-Glut",4,1
"37","RT-ZI-Gnb3-Gaba-1",2,2
"38","RT-ZI-Gnb3-Gaba-2",4,3
"39","SCH-Six6-Cdc14a-Gaba",2,2
"40","SCsg-Gabrr2-Gaba",0,0
"41","SI-MA-LPO-LHA-Skor1-Glut",4,1
"42","SI-MPO-LPO-ADP-Lhx8-Gaba",4,1
"43","SNc-VTA-RAmb-Foxa1-Dopa",0,0
"44","STN-PSTN-Pitx2-Glut",2,1
"45","STR-D1-D2-Gaba",4,2
"46","STR-D1-Gaba",4,1
"47","STR-PAL-Chst9-Gaba",4,1
"48","TH-Prkcd-Grin2c-Glut-1",2,0
"49","TH-Prkcd-Grin2c-Glut-2",4,2
"50","TH-Prkcd-Grin2c-Glut-3",4,1
"51","TH-Prkcd-Grin2c-Glut-4",4,2
"52","TH-Prkcd-Grin2c-Glut-5",2,1
"53","TH-Prkcd-Grin2c-Glut-6",4,1
"54","TH-Prkcd-Grin2c-Glut-7",4,4
"55","TH-Prkcd-Grin2c-Glut-8",3,1
"56","TH-PVT-RE-Ntrk1-Nox4-Glut",1,1
"57","TH-Sema5b-Ntrk-Glut",4,3
"58","Trh-Glut",4,2
"59","TRS-BAC-Sln-Glut",0,0
"60","TU-ARH-Otp-Six6-Gaba",4,1
"61","VMH-Nr5a1-Glut-1",2,1
"62","VMH-Nr5a1-Glut-2",4,3
"63","ZI-Mixed-Gaba",4,2
"64","ZI-Pax6-Gaba",4,1
"65","ZI-PVH-SBPV-Pax6-Prox1-Gaba",4,1
