,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,34.7047359798534,7.64782333523666,0.426078013306797,17.9493498758169,4.85554245171973e-72,1.26375203390909e-67
2,Uty,28.7729180238426,-7.51897250509559,0.503661928567916,-14.9286100032905,2.14694881054378e-50,2.79393183460115e-46
3,Eif2s3y,13.333436842455,-7.32868331095874,0.517335226849022,-14.1662174362186,1.48274799236094e-45,1.28638273323928e-41
4,Kdm5d,11.5712771519175,-6.22396992605952,0.50812981546855,-12.2487792225307,1.705437486135e-34,1.10968553629089e-30
5,Ddx3y,6.91921467812099,-5.64152701258541,0.518554852347827,-10.8793254697023,1.44629222279891e-27,7.52852953655745e-24
6,Tsix,1.51483176602804,3.46898570514389,0.48459778470955,7.15848444751574,8.15738406455332e-13,3.53853725080215e-09
7,Kdm6a,31.6964199612293,0.556235123801993,0.0911376562149381,6.10324148001101,1.03938624013658e-09,3.86458652457641e-06
8,Gm29650,0.765791093279505,-3.02466963138983,0.636692919367945,-4.75059410805521,2.02819876834937e-06,0.00659849116797865
9,Kcnmb2,12.7992568958953,0.777650077603773,0.170959430741795,4.54874044812586,5.39679559545438e-06,0.015606933218099
10,Osbpl6,88.1684819097074,-0.277209225864255,0.0624807255828954,-4.43671585561969,9.13417366817025e-06,0.0237735138061467
11,Esr1,30.7601467117236,0.813323938056711,0.188397725198992,4.31705816616231,1.58122500837752e-05,0.0374132211754924
