"Cluster","Activated_Percentage_M_mean","Activated_Percentage_F_mean","Activated_Percentage_Difference","p_value","AdjustedPValue"
"HY NSCs_2",41.5621162307106,71.9631717579491,-30.4010555272385,8.59817290822435e-05,0.00306312654796527
"TH Prkcd Grin2c Glut_7",48.8383072554292,45.3491008868507,3.4892063685785,9.42500476297005e-05,0.00306312654796527
"TH Prkcd Grin2c Glut_3",37.6235432811201,41.2628407299734,-3.63929744885328,0.000146538933429806,0.00317501022431246
"PO-MEA Slc17a7 Glut",50.4644431350963,43.6959604510367,6.76848268405955,0.00255455240336437,0.0415114765546711
"STR-PAL Chst9 Gaba",17.4135187139428,13.7786704720758,3.63484824186695,0.0116462659366313,0.151401457176207
"TH Prkcd Grin2c Glut_2",35.3486579778551,35.8695080359177,-0.520850058062599,0.0315463075125016,0.341751664718767
"TH-PVT-RE Ntrk1-Nox4 Glut",43.3948948561018,32.2939213564214,11.1009734996804,0.0368939431655169,0.342586615108371
"ARC Mixed Glut",50.7124240958911,53.8736661467956,-3.16124205090451,0.0446173848001773,0.342628448238315
"AV Col27a1 Glut",22.6203758161616,25.5009455393371,-2.88056972317548,0.0474408620637667,0.342628448238315
"Mixed",23.1142115330909,19.9750192175073,3.13919231558355,0.0709995330318767,0.461496964707198
"Chat GABA",36.7995998669373,44.4005198233139,-7.60091995637661,0.0816682275623385,0.482584981050182
"ADP-MPO Trp73 Glut",19.5887445887446,27.8186628186628,-8.22991822991823,0.122461638133701,0.530667098579373
"PF Fzd5 Glut",22.759406802062,32.2056389196855,-9.44623211762357,0.117395512071829,0.530667098579373
"RT-ZI Gnb3 Gaba_2",17.908187710796,19.6119637813782,-1.70377607058213,0.111780970467896,0.530667098579373
"TH Sema5b-Ntrk Glut",35.8877771161938,37.1585575212175,-1.27078040502374,0.0985078687233703,0.530667098579373
"VMH Nr5a1 Glut_2",16.6041020046499,19.8612749268273,-3.25717292217737,0.13375898947752,0.543395894752427
"Lhx6-Lhx8 Gaba",15.0900281006259,10.440621653709,4.6494064469169,0.154057592947158,0.577242889272129
"PO-MEA Glut",25.7489620055305,21.2497911507094,4.49917085482118,0.159851877029205,0.577242889272129
"GPe-SI Sox6 Cyp26b1 Gaba",18.8466232247773,21.597612079949,-2.75098885517175,0.221332872636068,0.621086234410633
"PVH-SO-PVa Agtr1a Glut",30.6754454122875,27.3133810633811,3.36206434890645,0.228041095352186,0.621086234410633
"PVN Mixed Glut",50.703527262641,46.4828431372549,4.22068412538614,0.22932414809008,0.621086234410633
"SCH Six6 Cdc14a Gaba",11.5270891421132,9.20653734271537,2.32055179939785,0.223417842179001,0.621086234410633
"SNc-VTA-RAmb Foxa1 Dopa",60,41.0884353741497,18.9115646258503,0.189731800766283,0.621086234410633
"TH Prkcd Grin2c Glut_8",48.1549951633745,51.9230182087397,-3.76802304536522,0.207690167524919,0.621086234410633
"RT-ZI Gnb3 Gaba_1",9.53097268228847,13.80626114082,-4.27528845853149,0.245557568948601,0.638449679266363
"TU-ARH Otp Six6 Gaba",14.5032847507786,8.71904780805687,5.78423694272172,0.265720508125463,0.664301270313657
"AHN Onecut3 Gaba",14.7794835985036,16.5772176605548,-1.79773406205125,0.320598779073927,0.704071683411916
"LHA Pmch Glut",25.9614946457052,25.478766025641,0.482728620064147,0.324956161574731,0.704071683411916
"PH-LHA-MM Foxb1 Glut",11.9805737491515,15.448152892401,-3.46757914324953,0.304652604685501,0.704071683411916
"TH Prkcd Grin2c Glut_6",38.6623627265176,39.0127887165979,-0.350425990080346,0.319903171469787,0.704071683411916
"PV-PT Ntrk1-Sp9 Glut",25.6946593040768,25.4242499109642,0.270409393112647,0.357880086852487,0.75039373049715
"AD Serpinb7 Glut",40.025376312141,39.172335600907,0.85304071123398,0.481535779474723,0.791676547462961
"AHN-PVHd-PVR Mixed Gaba",7.60094647013957,8.74157914289491,-1.14063267275534,0.479932458403183,0.791676547462961
"HY NSCs_1",70.7724111370453,78.9827327327327,-8.21032159568739,0.500849359497997,0.791676547462961
"PH-LHA-PVH-SO-PVa Nxph4 Glut",22.5486629289808,23.3599814892416,-0.81131856026083,0.430729988775834,0.791676547462961
"Pitx2 Glut",33.0139429042852,24.6923701279363,8.32157277634881,0.425437124437582,0.791676547462961
"PO-COAa-PAA-MEA Barhl2 Glut",29.2610663844378,28.1145624026229,1.14650398181487,0.445749787862255,0.791676547462961
"PVpo-VMPO-MPN Hmx2 Gaba",14.2882474206846,11.6975309629668,2.59071645771782,0.560263402819942,0.791676547462961
"RE-Xi Nox4 Glut",28.1031978830487,27.1801646082013,0.92303327484742,0.533210908886075,0.791676547462961
"SI-MPO-LPO-ADP Lhx8 Gaba",12.369383005962,12.5798201997825,-0.210437193820553,0.450413620710084,0.791676547462961
"TH Prkcd Grin2c Glut_1",39.6360983787454,49.2243083003953,-9.58820992164982,0.400119783201985,0.791676547462961
"TH Prkcd Grin2c Glut_4",39.0964066946578,41.2990005102153,-2.20259381555742,0.479279926440314,0.791676547462961
"Trh Glut",23.7555441387196,23.8436760197909,-0.0881318810713516,0.521258812228377,0.791676547462961
"TRS-BAC Sln Glut",6.84499052146111,14.144157028562,-7.29916650710084,0.50126366273282,0.791676547462961
"VMH Nr5a1 Glut_1",27.4573996265173,28.1515624387478,-0.69416281223052,0.552939784482528,0.791676547462961
"ZI Pax6 Gaba",12.9400058665553,12.887365894263,0.0526399722922921,0.551368037453148,0.791676547462961
"DMH Hmx2-Vgll1 Glut",26.0387025626847,21.5292555608287,4.50944700185592,0.618306742734745,0.820202821995069
"PO-CEA-BST Meis2 Gaba",19.3563111120956,20.1211953779618,-0.764884265866218,0.600007005852804,0.820202821995069
"TH Prkcd Grin2c Glut_5",53.2319434951014,44.9385242994266,8.29341919567484,0.60992461937184,0.820202821995069
"DMH Gaba",11.7437811552891,11.9986597396347,-0.254878584345601,0.811460551522924,0.948380891649859
"Hist Gaba",27.7719451128363,21.0850086943502,6.68693641848607,0.818491438676399,0.948380891649859
"LH-MH Glut",21.4404461279461,30.8467401669156,-9.40629403896948,0.758632605300175,0.948380891649859
"Lhx6 Gaba",19.8843916968917,24.4277723319422,-4.54338063505053,0.820713903218235,0.948380891649859
"PO-MEA-BST Mixed Gaba",19.8606029944177,19.8614674060299,-0.000864411612152338,0.763795495089808,0.948380891649859
"SI-MA-LPO-LHA Skor1 Glut",23.341321090052,21.3739679638227,1.96735312622932,0.815662089205746,0.948380891649859
"STN-PSTN Pitx2 Glut",14.130790671275,26.7185741247293,-12.5877834534544,0.767190814094652,0.948380891649859
"ZI Mixed Gaba",21.5341613376829,20.5306297032249,1.00353163445801,0.831657089600646,0.948380891649859
"NDB-SI-MA-STRv Lhx8 Gaba",25.1116408100357,28.1909746199828,-3.07933380994703,0.870785232809896,0.954682960947862
"STR D1 Gaba",16.9338051254164,17.5508635619594,-0.617058436543083,0.858116232441119,0.954682960947862
"ZI-PVH-SBPV Pax6-Prox1 Gaba",11.2203337507883,10.4432092924082,0.777124458380097,0.881245810105719,0.954682960947862
"GPi Tbr1 Cngb3 Gaba-Glut",23.3180087456403,23.6813186813187,-0.363309935678359,0.901545674330336,0.957803983905478
"Mixed Meis2 Gaba",38.6040418394493,36.1832541242084,2.42078771524088,0.928333092093002,0.957803983905478
"STR D1-D2 Gaba",27.3192769744924,24.6010554785606,2.71822149593184,0.923901995117014,0.957803983905478
"PVH-SO-PVa Avp Glut",16.114012129916,14.5080115528898,1.60600057702617,1,1
"SCsg Gabrr2 Gaba",21.5277777777778,10.8333333333333,10.6944444444444,1,1
